age,fare,embarked,cabin,pclass,sex,sibsp,parch,ticket,survival
25,7.925,S,missing,3,male,0,0,STON/O 2. 3101291,0
41,134.5,C,E40,1,female,0,0,16966,1
28,7.7333,Q,missing,3,male,0,0,334912,0
18,7.775,S,missing,3,female,0,0,347087,0
29,21,S,missing,2,male,1,0,11668,0
19,7.65,S,F G73,3,male,0,0,348124,0
46,26,S,missing,2,male,0,0,28403,0
28,25.4667,S,missing,3,female,0,4,4133,0
28,26,S,A19,1,male,0,0,113056,0
36,135.6333,C,C32,1,female,0,0,PC 17760,1
21,7.75,Q,missing,3,male,0,0,364858,0
22,8.05,S,missing,3,male,0,0,324669,0
28,7.8958,S,missing,3,male,0,0,349208,0
36,13,S,D,2,female,0,0,28551,1
23,13.7917,C,D,2,female,0,0,SC/AH Basle 541,1
16,86.5,S,B79,1,female,0,0,110152,1
28,25.4667,S,missing,3,female,3,1,4133,0
10,24.15,S,missing,3,female,0,2,345773,0
28,0,S,missing,1,male,0,0,112051,0
28,7.75,Q,missing,3,female,0,2,364848,0
47,227.525,C,C62 C64,1,male,1,0,PC 17757,0
10,46.9,S,missing,3,female,5,2,CA 2144,0
35,7.75,Q,missing,3,female,0,0,9232,0
29,7.8542,S,missing,3,male,0,0,347467,0
36,7.8958,S,missing,3,male,0,0,349247,0
35,7.125,S,missing,3,male,0,0,STON/O 2. 3101273,0
3,41.5792,C,missing,2,female,1,2,SC/Paris 2123,1
27,53.1,S,E8,1,male,1,0,113806,1
22,8.9625,S,missing,3,female,0,0,7548,1
28,7.2292,C,missing,3,male,0,0,2671,0
32,13,S,missing,2,female,0,0,234604,1
28,7.8792,Q,missing,3,female,0,0,330924,0
48,65,S,missing,2,female,1,2,220845,1
28,7.75,Q,missing,3,male,0,0,371060,0
28,16.1,S,missing,3,female,1,0,376564,1
7,39.6875,S,missing,3,male,4,1,3101295,0
18,7.7958,S,missing,3,male,0,0,350036,0
44,8.05,S,missing,3,male,0,0,364511,0
19,10.5,S,missing,2,male,0,0,28665,0
30,7.6292,Q,missing,3,female,0,0,330972,0
28,6.4375,C,missing,3,male,1,0,2621,0
24,7.4958,S,missing,3,male,0,0,349209,0
9,15.2458,C,missing,3,female,1,1,2650,1
29,7.0458,S,missing,3,male,1,0,3460,0
55,135.6333,C,C32,1,female,0,0,PC 17760,1
36,9.5,S,missing,3,male,0,0,345771,0
28,8.05,S,missing,3,female,0,0,SOTON/O.Q. 392087,0
29,7.925,S,missing,3,male,0,0,STON/O 2. 3101268,0
45,59.4,C,missing,1,female,0,1,112378,1
28,25.925,S,missing,1,male,0,0,PC 17318,0
28,7.775,S,missing,3,male,0,0,345498,0
62,10.5,S,missing,2,male,0,0,S.W./PP 752,1
28,7.225,C,missing,3,male,0,0,2674,0
27,21,S,missing,2,female,1,0,11668,0
20,8.6625,S,missing,3,male,0,0,315094,0
16,39.4,S,D28,1,female,0,1,PC 17592,1
30,45.5,S,missing,1,male,0,0,113801,0
38,227.525,C,C45,1,female,0,0,PC 17757,1
20,7.925,S,missing,3,male,1,0,STON/O 2. 3101285,1
36,78.85,S,C46,1,male,1,0,19877,0
18.5,7.2833,Q,missing,3,female,0,0,329944,0
19,13,S,missing,2,male,0,0,28424,0
24,37.0042,C,missing,2,female,1,1,S.C./PARIS 2079,1
24,7.8542,S,missing,3,male,0,0,350409,0
38,31.3875,S,missing,3,female,1,5,347077,1
20,7.8542,S,missing,3,male,0,0,350416,0
0.3333,14.4,S,missing,3,male,0,2,347080,0
25,13,S,missing,2,male,0,0,C.A. 29178,0
36,71,S,B22,1,female,0,2,WE/P 5735,1
25,10.5,S,missing,2,male,0,0,F.C.C. 13540,0
28,7.8958,S,missing,3,male,0,0,349243,0
16,7.7333,Q,missing,3,female,0,0,35851,1
42,32.5,S,missing,2,male,1,1,28220,0
28,7.75,Q,missing,3,female,0,0,14312,1
61,262.375,C,B57 B59 B63 B66,1,male,1,3,PC 17608,0
45,8.05,S,missing,3,male,0,0,7598,1
45,164.8667,S,missing,1,female,1,1,36928,1
48,34.375,S,missing,3,female,1,3,W./C. 6608,0
23,263,S,C23 C25 C27,1,female,3,2,19950,1
28,7.2292,C,missing,3,male,0,0,2622,0
13,262.375,C,B57 B59 B63 B66,1,male,2,2,PC 17608,1
50,26,S,missing,2,female,0,1,230433,1
39,55.9,S,E44,1,female,1,0,13507,1
41,20.2125,S,missing,3,female,0,2,370129,0
8,21.075,S,missing,3,female,3,1,349909,0
24,82.2667,S,B45,1,male,1,0,21228,1
28,7.8958,S,missing,3,male,0,0,349222,0
23,10.5,S,missing,2,male,1,0,28666,0
22,49.5,C,B39,1,female,0,2,13568,1
0.9167,27.75,S,missing,2,female,1,2,C.A. 34651,1
28,56.4958,S,missing,3,male,0,0,1601,0
28,56.4958,S,missing,3,male,0,0,1601,1
24,247.5208,C,B58 B60,1,male,0,1,PC 17558,0
22,7.8958,S,missing,3,male,0,0,349252,0
0.8333,18.75,S,missing,2,male,1,1,29106,1
26,18.7875,C,missing,3,male,0,0,2699,1
28,7.75,Q,missing,3,female,0,0,364856,0
17,8.6625,S,missing,3,male,0,0,315090,0
28,8.05,S,missing,3,male,0,0,A/5 1478,0
60,39,S,missing,2,male,1,1,29750,0
